X: 174, Y: 669
X: 371, Y: 601
X: 325, Y: 585
X: 295, Y: 515
X: 499, Y: 487
X: 534, Y: 628
X: 334, Y: 423
X: 291, Y: 437
X: 210, Y: 904
X: 518, Y: 292
X: 448, Y: 844
X: 137, Y: 754
X: 444, Y: 432
X: 352, Y: 897
X: 550, Y: 517
X: 466, Y: 340
X: 482, Y: 839
X: 164, Y: 299
X: 475, Y: 743
X: 446, Y: 771
X: 501, Y: 534
X: 500, Y: 660
X: 525, Y: 688
X: 520, Y: 369
X: 229, Y: 442
X: 390, Y: 763
X: 402, Y: 689
X: 154, Y: 566
X: 352, Y: 292
X: 187, Y: 979
X: 368, Y: 987
X: 463, Y: 788
X: 551, Y: 283
X: 322, Y: 270
X: 226, Y: 880
X: 443, Y: 404
X: 154, Y: 453
X: 520, Y: 882
X: 204, Y: 338
X: 347, Y: 1020
X: 358, Y: 549
X: 384, Y: 679
X: 246, Y: 870
X: 199, Y: 249
X: 502, Y: 939
X: 540, Y: 766
X: 330, Y: 498
X: 431, Y: 411
X: 180, Y: 748
X: 241, Y: 324
X: 529, Y: 350
X: 539, Y: 963
X: 397, Y: 736
X: 357, Y: 360
X: 359, Y: 668
X: 341, Y: 804
X: 335, Y: 799
X: 121, Y: 774
X: 304, Y: 865
X: 384, Y: 268
X: 130, Y: 504
X: 519, Y: 930
X: 266, Y: 656
X: 438, Y: 650
X: 256, Y: 835
X: 388, Y: 763
X: 389, Y: 861
X: 482, Y: 388
X: 437, Y: 794
X: 287, Y: 799
X: 321, Y: 460
X: 505, Y: 847
X: 263, Y: 770
X: 124, Y: 882
X: 237, Y: 326
X: 402, Y: 713
X: 366, Y: 764
X: 524, Y: 920
X: 365, Y: 909
X: 149, Y: 488
X: 133, Y: 693
X: 169, Y: 902
X: 548, Y: 829
X: 246, Y: 1000
X: 375, Y: 977
X: 258, Y: 669
X: 198, Y: 998
X: 499, Y: 752
X: 388, Y: 334
X: 369, Y: 804
X: 431, Y: 544
X: 171, Y: 634
X: 340, Y: 991
X: 510, Y: 806
X: 419, Y: 827
X: 419, Y: 442
X: 311, Y: 764
X: 511, Y: 323
X: 546, Y: 826
X: 479, Y: 693
X: 241, Y: 256
X: 527, Y: 255
X: 244, Y: 288
X: 122, Y: 439
X: 355, Y: 615
X: 212, Y: 975
X: 240, Y: 413
X: 471, Y: 406
X: 409, Y: 529
X: 547, Y: 513
X: 394, Y: 245
X: 163, Y: 443
X: 529, Y: 264
X: 400, Y: 817
X: 326, Y: 744
X: 336, Y: 224
X: 443, Y: 700
X: 321, Y: 728
X: 428, Y: 1001
X: 360, Y: 226
X: 163, Y: 925
X: 188, Y: 626
X: 402, Y: 500
X: 542, Y: 497
X: 508, Y: 409
X: 231, Y: 882
X: 432, Y: 852
X: 165, Y: 568
X: 202, Y: 662
X: 537, Y: 532
X: 360, Y: 595
X: 397, Y: 1009
X: 297, Y: 377
X: 260, Y: 545
X: 252, Y: 674
X: 225, Y: 430
X: 232, Y: 296
X: 502, Y: 458
X: 456, Y: 834
X: 242, Y: 261
X: 506, Y: 261
X: 521, Y: 468
X: 482, Y: 984
X: 277, Y: 561
X: 211, Y: 972
X: 199, Y: 720
X: 218, Y: 379
X: 192, Y: 798
X: 344, Y: 783
X: 453, Y: 279
X: 500, Y: 925
X: 340, Y: 934
X: 520, Y: 764
X: 546, Y: 650
X: 169, Y: 481
X: 229, Y: 713
X: 480, Y: 293
X: 498, Y: 456
X: 519, Y: 584
X: 537, Y: 842
X: 426, Y: 493
X: 220, Y: 501
X: 364, Y: 652
X: 374, Y: 589
X: 477, Y: 968
X: 471, Y: 344
X: 235, Y: 670
X: 493, Y: 632
X: 289, Y: 952
X: 425, Y: 234
X: 161, Y: 672
X: 136, Y: 705
X: 277, Y: 540
X: 531, Y: 390
X: 313, Y: 872
X: 187, Y: 795
X: 311, Y: 745
X: 233, Y: 552
X: 387, Y: 892
X: 389, Y: 964
X: 476, Y: 588
X: 551, Y: 541
X: 216, Y: 373
X: 182, Y: 254
X: 222, Y: 417
X: 320, Y: 377
X: 370, Y: 435
X: 420, Y: 605
X: 207, Y: 741
X: 289, Y: 704
X: 520, Y: 590
X: 201, Y: 359
X: 126, Y: 936
X: 270, Y: 536
X: 279, Y: 628
X: 300, Y: 610
X: 156, Y: 254
X: 301, Y: 638
X: 355, Y: 285
X: 474, Y: 843
X: 330, Y: 458
X: 352, Y: 879
X: 362, Y: 344
X: 271, Y: 647
X: 131, Y: 574
X: 198, Y: 962
X: 527, Y: 289
X: 372, Y: 468
X: 157, Y: 378
X: 253, Y: 983
X: 232, Y: 631
X: 262, Y: 506
X: 392, Y: 447
X: 363, Y: 589
X: 165, Y: 488
X: 184, Y: 536
X: 406, Y: 778
X: 381, Y: 1008
X: 383, Y: 543
X: 183, Y: 577
X: 429, Y: 855
X: 267, Y: 971
X: 161, Y: 222
X: 125, Y: 352
X: 455, Y: 631
X: 548, Y: 586
X: 175, Y: 684
X: 397, Y: 954
X: 229, Y: 678
X: 431, Y: 759
X: 519, Y: 286
X: 139, Y: 310
X: 162, Y: 652
X: 457, Y: 818
X: 365, Y: 559
X: 441, Y: 541
X: 359, Y: 696
X: 417, Y: 743
X: 157, Y: 509
X: 464, Y: 469
X: 458, Y: 584
X: 355, Y: 465
X: 210, Y: 634
X: 506, Y: 578
X: 462, Y: 572
X: 410, Y: 872
X: 278, Y: 619
X: 452, Y: 984
X: 291, Y: 708
X: 467, Y: 380
X: 278, Y: 796
X: 520, Y: 297
X: 312, Y: 286
X: 410, Y: 484
X: 252, Y: 448
X: 142, Y: 917
X: 442, Y: 746
X: 194, Y: 321
X: 353, Y: 989
X: 240, Y: 1009
X: 208, Y: 550
X: 376, Y: 641
X: 312, Y: 640
X: 291, Y: 854
X: 233, Y: 425
X: 139, Y: 859
X: 229, Y: 878
X: 378, Y: 224
X: 355, Y: 380
X: 287, Y: 277
X: 281, Y: 385
[2025-04-07T11:37:20.413Z] Reading file: C:\Lidar_Integration_Testing_M26\cypress\e2e\Poles\Pole-Import-Validate.cy.js
[2025-04-07T11:37:20.418Z] Duplicate Coordinates found:
[2025-04-07T11:37:20.419Z] Duplicate Coordinate: x = 451, y = 748
[2025-04-07T11:37:20.419Z] Duplicate Coordinate: x = 451, y = 748
[2025-04-07T11:37:20.421Z] Duplicate Coordinate: x = 451, y = 748
[2025-04-07T11:37:20.422Z] Duplicate Coordinate: x = 451, y = 748
[2025-04-07T11:37:20.423Z] Duplicate Coordinate: x = 451, y = 748
[2025-04-07T11:37:20.424Z] Duplicate Coordinate: x = 451, y = 748
[2025-04-07T11:37:20.424Z] Duplicate Coordinate: x = 451, y = 748
[2025-04-07T11:37:20.425Z] Duplicate Coordinate: x = 451, y = 748
[2025-04-07T11:37:20.425Z] Duplicate Coordinate: x = 451, y = 748
[2025-04-07T11:37:20.426Z] Duplicate Coordinate: x = 451, y = 748
[2025-04-07T11:37:20.426Z] Duplicate Coordinate: x = 451, y = 748
[2025-04-07T11:37:20.427Z] Duplicate Coordinate: x = 451, y = 748
[2025-04-07T11:37:20.427Z] Duplicate Coordinate: x = 451, y = 748
[2025-04-07T11:37:20.428Z] Duplicate Coordinate: x = 451, y = 748
[2025-04-07T11:37:20.435Z] Updated file: C:\Lidar_Integration_Testing_M26\cypress\e2e\Poles\Pole-Import-Validate.cy.js
